pl_name,hostname,pl_letter,gaia_id,sy_snum,sy_pnum,sy_mnum,discoverymethod,disc_year,disc_facility,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,st_spectype
11 Com b,11 Com,b,Gaia DR2 3946945413106333696,2,1,0,Radial Velocity,2007,Xinglong Station,326.03000000,0.32000000,-0.32000000,0,G8 III
11 Com b,11 Com,b,Gaia DR2 3946945413106333696,2,1,0,Radial Velocity,2007,Xinglong Station,,,,,
11 UMi b,11 UMi,b,Gaia DR2 1696798367260229376,1,1,0,Radial Velocity,2009,Thueringer Landessternwarte Tautenburg,516.22000000,3.25000000,-3.25000000,0,K4 III
11 UMi b,11 UMi,b,Gaia DR2 1696798367260229376,1,1,0,Radial Velocity,2009,Thueringer Landessternwarte Tautenburg,,,,,
11 UMi b,11 UMi,b,Gaia DR2 1696798367260229376,1,1,0,Radial Velocity,2009,Thueringer Landessternwarte Tautenburg,516.21997000,3.20000000,-3.20000000,0,
14 And b,14 And,b,Gaia DR2 1920113512486282240,1,1,0,Radial Velocity,2008,Okayama Astrophysical Observatory,185.84000000,0.23000000,-0.23000000,0,K0 III
14 And b,14 And,b,Gaia DR2 1920113512486282240,1,1,0,Radial Velocity,2008,Okayama Astrophysical Observatory,,,,,
14 Her b,14 Her,b,Gaia DR2 1385293808145621504,1,2,0,Radial Velocity,2002,W. M. Keck Observatory,1796.40000000,8.30000000,-8.30000000,0,
14 Her b,14 Her,b,Gaia DR2 1385293808145621504,1,2,0,Radial Velocity,2002,W. M. Keck Observatory,1766.41000000,0.67000000,-0.68000000,0,
14 Her b,14 Her,b,Gaia DR2 1385293808145621504,1,2,0,Radial Velocity,2002,W. M. Keck Observatory,1766.00000000,,,0,
14 Her b,14 Her,b,Gaia DR2 1385293808145621504,1,2,0,Radial Velocity,2002,W. M. Keck Observatory,1773.40002000,2.50000000,-2.50000000,0,
14 Her b,14 Her,b,Gaia DR2 1385293808145621504,1,2,0,Radial Velocity,2002,W. M. Keck Observatory,,,,,
14 Her b,14 Her,b,Gaia DR2 1385293808145621504,1,2,0,Radial Velocity,2002,W. M. Keck Observatory,1765.03890112,1.67708897,-1.87256063,0,
14 Her b,14 Her,b,Gaia DR2 1385293808145621504,1,2,0,Radial Velocity,2002,W. M. Keck Observatory,1724.00000000,50.00000000,-50.00000000,0,K0 V
14 Her b,14 Her,b,Gaia DR2 1385293808145621504,1,2,0,Radial Velocity,2002,W. M. Keck Observatory,1773.40000000,2.50000000,-2.50000000,0,K0 V
16 Cyg B b,16 Cyg B,b,Gaia DR2 2135550755683407232,3,1,0,Radial Velocity,1996,Multiple Observatories,798.50000000,1.00000000,-1.00000000,0,
16 Cyg B b,16 Cyg B,b,Gaia DR2 2135550755683407232,3,1,0,Radial Velocity,1996,Multiple Observatories,799.45000000,0.15000000,-0.15000000,0,
16 Cyg B b,16 Cyg B,b,Gaia DR2 2135550755683407232,3,1,0,Radial Velocity,1996,Multiple Observatories,798.50000000,1.00000000,-1.00000000,0,
16 Cyg B b,16 Cyg B,b,Gaia DR2 2135550755683407232,3,1,0,Radial Velocity,1996,Multiple Observatories,800.80000000,11.70000000,-11.70000000,0,G2.5 V
16 Cyg B b,16 Cyg B,b,Gaia DR2 2135550755683407232,3,1,0,Radial Velocity,1996,Multiple Observatories,799.50000000,0.60000000,-0.60000000,0,
16 Cyg B b,16 Cyg B,b,Gaia DR2 2135550755683407232,3,1,0,Radial Velocity,1996,Multiple Observatories,799.50000000,0.60000000,-0.60000000,0,G3 V
17 Sco b,17 Sco,b,Gaia DR2 4342464209753404416,1,1,0,Radial Velocity,2020,Lick Observatory,578.38000000,2.01000000,-2.09000000,0,K3 III
18 Del b,18 Del,b,Gaia DR2 1756741374681702784,2,1,0,Radial Velocity,2008,Okayama Astrophysical Observatory,993.30000000,3.20000000,-3.20000000,0,G6 III
18 Del b,18 Del,b,Gaia DR2 1756741374681702784,2,1,0,Radial Velocity,2008,Okayama Astrophysical Observatory,,,,,
1RXS J160929.1-210524 b,1RXS J160929.1-210524,b,Gaia DR2 6243841249531772800,1,1,0,Imaging,2008,Gemini Observatory,,,,,K7 V
1RXS J160929.1-210524 b,1RXS J160929.1-210524,b,Gaia DR2 6243841249531772800,1,1,0,Imaging,2008,Gemini Observatory,,,,,
1RXS J160929.1-210524 b,1RXS J160929.1-210524,b,Gaia DR2 6243841249531772800,1,1,0,Imaging,2008,Gemini Observatory,,,,,K7 V
1RXS J160929.1-210524 b,1RXS J160929.1-210524,b,Gaia DR2 6243841249531772800,1,1,0,Imaging,2008,Gemini Observatory,,,,,
24 Boo b,24 Boo,b,Gaia DR2 1603662211901473408,1,1,0,Radial Velocity,2018,Okayama Astrophysical Observatory,30.35060000,0.00780000,-0.00770000,0,G3 IV
24 Sex b,24 Sex,b,Gaia DR2 3830897080395058048,1,2,0,Radial Velocity,2010,Lick Observatory,452.80000000,2.10000000,-4.50000000,0,
